Designator,LibRef,Comment,Quantity,Supplier 1,Supplier Part Number 1

"C1, C2","CC1206KKX7R8BB106","CAP 10µF ±10% 25V 1206 X7R","2","Digi-Key","311-1959-1-ND"
"C3","CC1206KKX7R6BB226","CAP 22µF ±10% 10V 1206 X7R","1","Digi-Key","311-1954-1-ND"
"C4","CC0402KRX7R8BB104","CAP 0.10µF ±10% 25V 0402 X7R","1","Digi-Key","311-2077-1-ND"
"C5, C8, C9, C10, C15, C16, C19, C22, C23","CC0402KRX7R7BB104","CAP 0.10µF ±10% 16V 0402 X7R","9","Digi-Key","311-1338-1-ND"
"C6, C7, C20, C21","CC0805KKX7R7BB105","CAP 1µF ±10% 16V 0805 X7R","4","Digi-Key","311-1365-1-ND"
"C11, C13","EEE-FK1V101XP","EEE-FK1V101XP","2","Digi-Key","PCE3836CT-ND"
"C12, C14","CC0805KRX7RYBB102","CAP 1nF ±10% 250V 0805 X7R","2","Digi-Key","311-1470-1-ND"
"C17, C18","CC0402JRNPO9BN120","CAP 12pF ±5% 50V 0402 C0G, NP0","2","Digi-Key","311-1016-1-ND"
"C24, C25","CC0402KRX7R7BB103","CAP 10000pF ±10% 16V 0402 X7R","2","Digi-Key","311-1042-1-ND"
"CA1, CA2, CA3, CA4, CA5","CKCA43X7R1H103M100AA","CKCA43X7R1H103M100AA","5","",""
"D1, D7, D9, D13, D16, D20, D22, D26","SM6T22CA","SM6T22CA","8","Digi-Key","497-3507-1-ND"
"D2, D3, D4, D6, D8, D10, D11, D12, D17, D18, D19, D21, D23, D24, D25, D27","SMA6T22CAY","SMA6T22CAY","16","",""
"D5","BZT52HC30WF-7","BZT52HC30WF-7","1","Digi-Key","BZT52HC30WF-7DICT-ND"
"D14","SMAJ30C","SMAJ30C","1","",""
"D15","PESD1CAN-U","PESD1CAN-U","1","",""
"F1","0ZCJ0035AF2E","0ZCJ0035AF2E","1","",""
"FB1","BLM21AG102SH1D","BLM21AG102SH1D","1","Digi-Key","490-10664-1-ND"
"J1, J2","6437288-1","6437288-1","2","",""
"J3","M20-9990246","M20-9990246","1","Digi-Key","952-2262-ND"
"J4","M20-9980346","M20-9980346","1","Digi-Key","952-2121-ND"
"MH1, MH2, MH3, MH4, MH5, MH6","MH-6-32","#6-32","6","",""
"R1, R3, R5, R6, R7, R8, R10","RC0603FR-071KL","RES 1K 1% 1/10 W 0603 ±100ppm/°C","7","Digi-Key","311-1.00KHRCT-ND"
"R2, R4, R9, R11, R12, R13","RC0603FR-0710KL","RES 10K 1% 1/10 W 0603 ±100ppm/°C","6","Digi-Key","311-10.0KHRCT-ND"
"RA1, RA2, RA13","MNR14ERAPJ103","MNR14ERAPJ103","3","",""
"RA3, RA5, RA10, RA12","MNR14ERAPJ222","MNR14ERAPJ222","4","",""
"RA4, RA6, RA7, RA8, RA9, RA11","MNR18ERAPJ103","MNR18ERAPJ103","6","",""
"U1, U3, U15, U19","VNQ5027AK-E","VNQ5027AK-E","4","Digi-Key","497-11715-1-ND"
"U2, U5, U14, U18","VND7004AY","VND7004AY","4","",""
"U4","NCV1117ST50T3G","NCV1117ST50T3G","1","Digi-Key","NCV1117ST50T3GOSCT-ND"
"U6, U16","CD4051BPWR","CD4051BPWR","2","",""
"U7","AT90CAN32-15AT","AT90CAN32-15AT","1","Digi-Key","AT90CAN32-15ATCT-ND"
"U8, U11, U12, U13","PESD5V0U4BW","PESD5V0U4BW","4","",""
"U9, U10","MCP23S17-E/SS","MCP23S17-E/SS","2","",""
"U17","SN65HVDA1050AQDRQ1","SN65HVDA1050AQDRQ1","1","Digi-Key","296-25836-1-ND"
"X1","7A-16.000MAAE-T","7A-16.000MAAE-T","1","Digi-Key","887-1747-1-ND"
